symbol,open,high,low,close,volume
NSE:SBIN,880.65002,894.90002,877.5,893.54999,19435183.0
NSE:SBIN,895.0,899.0,883.29999,889.34998,14562742.0
NSE:SBIN,881.45,895.0,878.1,880.75,5549866.0
NSE:BHARTIARTL,1431.0,1438.85,1423.15,1435.15,3261797.0
NSE:BHARTIARTL,1436.0,1441.65,1428.15,1435.55,2897480.0
NSE:BHARTIARTL,1441.0,1448.75,1426.15,1445.05,3416762.0
NSE:BHARTIARTL,1450.0,1450.85,1428.0,1437.95,4178558.0
NSE:BHARTIARTL,1442.0,1447.6,1421.45,1433.25,6342135.0
NSE:BHARTIARTL,1433.25,1440.0,1426.05,1436.05,3324806.0
NSE:BHARTIARTL,1452.0,1473.3,1445.0,1463.6,6967651.0
NSE:BHARTIARTL,1466.0,1485.95,1459.05,1483.65,6470342.0
NSE:BHARTIARTL,1480.0,1480.0,1451.95,1461.75,3858596.0
NSE:BHARTIARTL,1450.0,1469.0,1449.05,1467.7,961441.0
NSE:MARUTI,12104.0,12112.0,11966.0,12023.6,496933.0
NSE:MARUTI,12325.0,12959.95,12264.05,12827.7,2114130.0
NSE:MARUTI,12950.05,13300.0,12732.65,12772.8,2070520.0
NSE:MARUTI,12800.0,12923.8,12695.05,12715.2,608983.0
NSE:MARUTI,12620.0,12669.9,12475.0,12562.5,674746.0
NSE:MARUTI,12600.0,12768.5,12590.0,12648.3,697186.0
NSE:MARUTI,12643.0,12798.0,12581.75,12639.55,347810.0
NSE:MARUTI,12633.0,12680.0,12463.0,12644.05,391216.0
NSE:MARUTI,12650.0,12710.0,12496.45,12524.3,351955.0
NSE:MARUTI,12500.0,12630.0,12400.05,12581.25,114763.0
NSE:LT,3640.1001,3645.7,3594.0,3632.0,1706210.0
NSE:LT,3650.0,3685.0,3646.1001,3666.1001,2425176.0
NSE:LT,3685.05,3694.0,3601.0,3650.05,2231438.0
NSE:LT,3660.0,3684.6001,3603.0,3621.1001,2942924.0
NSE:LT,3630.0,3667.7,3612.7,3649.3501,2001185.0
NSE:LT,3670.0,3674.0,3637.0,3651.6001,943302.0
NSE:LT,3646.1001,3651.6001,3621.0,3636.55,2220953.0
NSE:LT,3640.0,3679.25,3598.6499,3656.2,3240772.0
NSE:LT,3651.0,3658.95,3610.0,3618.5,2432533.0
NSE:LT,3617.9,3643.3,3567.6,3630.05,2517122.0
NSE:SUNPHARMA,1570.6,1574.8,1550.95,1556.4,1120204.0
NSE:SUNPHARMA,1564.8,1589.9,1549.8,1585.4,1492840.0
NSE:SUNPHARMA,1592.8,1601.15,1567.6,1598.55,1899956.0
NSE:SUNPHARMA,1601.0,1602.5,1572.3,1581.75,1707500.0
NSE:SUNPHARMA,1582.0,1587.35,1550.0,1577.3,1426598.0
NSE:SUNPHARMA,1579.95,1594.7,1577.3,1581.0,832804.0
NSE:SUNPHARMA,1589.0,1595.0,1574.95,1576.0,688481.0
NSE:SUNPHARMA,1575.0,1596.6,1570.25,1594.25,1665636.0
NSE:SUNPHARMA,1584.7,1589.75,1565.15,1568.65,1649335.0
NSE:SUNPHARMA,1555.05,1584.7,1555.05,1578.0,205159.0
NSE:AXISBANK,1285.0,1297.4,1279.6,1287.85,4216951.0
NSE:AXISBANK,1284.0,1295.0,1279.2,1289.4,6930340.0
NSE:AXISBANK,1284.2,1294.0,1275.15,1291.65,9020489.0
NSE:AXISBANK,1301.05,1301.4,1276.95,1296.75,7848846.0
NSE:AXISBANK,1293.9,1339.65,1293.9,1317.3,11278987.0
NSE:AXISBANK,1316.7,1324.4,1305.0,1307.45,11537127.0
NSE:AXISBANK,1307.45,1318.45,1299.7,1304.0,5433264.0
NSE:AXISBANK,1300.0,1318.6,1294.5,1309.4,6787511.0
NSE:AXISBANK,1305.65,1309.0,1288.2,1292.35,4496066.0
NSE:AXISBANK,1283.35,1292.35,1278.2,1285.85,2028596.0
NSE:WIPRO,535.95001,543.0,535.0,541.20001,6088180.0
NSE:WIPRO,544.0,544.95001,537.59998,541.0,4340722.0
NSE:WIPRO,541.0,543.34998,531.75,535.54999,4616874.0
NSE:WIPRO,536.70001,539.54999,530.0,534.09998,4403809.0
NSE:WIPRO,545.0,564.79999,541.54999,560.15002,27093021.0
NSE:WIPRO,566.90002,566.90002,556.15002,561.0,8049739.0
NSE:WIPRO,561.84998,562.59998,556.40002,559.70001,5619516.0
NSE:WIPRO,556.54999,574.40002,556.34998,573.20001,12509893.0
NSE:WIPRO,579.90002,579.90002,554.70001,557.20001,13261745.0
NSE:WIPRO,521.0,526.75,508.2,510.2,20011590.0
NSE:ADANIGREEN,1759.95,1765.45,1729.0,1756.45,490893.0
NSE:ADANIGREEN,1761.0,1815.0,1748.3,1756.3,674011.0
NSE:ADANIGREEN,1766.7,1770.6,1732.15,1755.65,438959.0
NSE:ADANIGREEN,1756.0,1763.4,1740.0,1747.05,351498.0
NSE:ADANIGREEN,1752.95,1756.75,1729.0,1735.25,365490.0
NSE:ADANIGREEN,1736.0,1749.8,1726.0,1741.1,293609.0
NSE:ADANIGREEN,1757.95,1820.0,1750.5,1759.95,1231412.0
NSE:ADANIGREEN,1770.0,1780.95,1725.0,1747.55,784726.0
NSE:ADANIGREEN,1750.0,1751.9,1712.6,1723.3,397349.0
NSE:ADANIGREEN,1723.95,1735.65,1700.2,1723.35,162399.0
NSE:HCLTECH,1528.0,1540.0,1506.2,1533.4,2939620.0
NSE:HCLTECH,1533.4,1546.3,1525.0,1531.1,2658608.0
NSE:HCLTECH,1531.1,1532.6,1487.85,1509.95,3507096.0
NSE:HCLTECH,1515.0,1534.0,1508.05,1511.9,3304053.0
NSE:HCLTECH,1530.0,1566.0,1510.5,1560.2,6430647.0
NSE:HCLTECH,1580.0,1636.4,1567.4,1569.6,10337489.0
NSE:HCLTECH,1565.0,1583.0,1555.0,1569.55,3540650.0
NSE:HCLTECH,1558.05,1599.25,1557.0,1594.55,4399468.0
NSE:HCLTECH,1610.5,1616.45,1588.6,1594.55,5633838.0
NSE:HCLTECH,1588.6,1594.5,1570.9,1578.15,775815.0
NSE:TATAMOTORS,1005.0,1016.6,996.20001,1002.6,13312085.0
NSE:TATAMOTORS,1000.95,1017.0,998.09998,1014.95,10948094.0
NSE:TATAMOTORS,1015.0,1019.85,986.04999,1005.5,13412206.0
NSE:TATAMOTORS,1008.0,1025.5,1007.05,1020.8,11983571.0
NSE:TATAMOTORS,1023.85,1025.9,1015.0,1016.75,7339644.0
NSE:TATAMOTORS,1021.35,1029.8,1017.3,1024.45,5847297.0
NSE:TATAMOTORS,1025.5,1029.6,1019.2,1021.15,4824555.0
NSE:TATAMOTORS,1022.95,1027.0,1008.0,1024.55,8010324.0
NSE:TATAMOTORS,1024.0,1024.0,986.65002,990.0,7400178.0
NSE:TATAMOTORS,990.0,1003.7,976.55,1000.4,3452865.0
NSE:NTPC,380.85001,381.25,376.14999,377.45001,8898299.0
NSE:NTPC,379.20001,380.25,375.04999,377.04999,8355819.0
NSE:NTPC,378.79999,383.79999,370.0,381.39999,17715196.0
NSE:NTPC,382.39999,383.29999,374.60001,377.10001,19873143.0
NSE:NTPC,378.95001,379.39999,372.0,377.14999,16151583.0
NSE:NTPC,378.60001,388.95001,376.89999,385.54999,22951140.0
NSE:NTPC,386.64999,388.75,380.0,380.45001,11893034.0
NSE:NTPC,382.89999,382.89999,374.20001,377.75,15709153.0
NSE:NTPC,377.75,378.0,362.89999,364.64999,13330099.0
NSE:NTPC,364.75,375.8,362.35,373.55,8652435.0
NSE:CIPLA,1516.0,1524.65,1483.2,1487.05,1524489.0
NSE:CIPLA,1496.9,1515.0,1487.3,1512.05,1791406.0
NSE:CIPLA,1512.1,1517.25,1492.25,1513.2,671042.0
NSE:CIPLA,1517.0,1519.0,1495.0,1506.0,1314312.0
NSE:CIPLA,1506.05,1515.0,1502.4,1512.05,1192685.0
NSE:CIPLA,1516.6,1531.95,1513.25,1517.2,1825510.0
NSE:CIPLA,1517.2,1524.45,1503.1,1508.4,963199.0
NSE:CIPLA,1497.0,1513.0,1485.6,1506.65,2169744.0
NSE:CIPLA,1501.6,1506.0,1480.2,1485.5,868261.0
NSE:CIPLA,1475.05,1507.05,1470.65,1502.6,433573.0
NSE:POWERGRID,341.0,341.0,336.85001,339.39999,7828162.0
NSE:POWERGRID,340.0,342.35001,338.10001,341.14999,9214579.0
NSE:POWERGRID,343.0,347.79999,335.5,346.04999,10662609.0
NSE:POWERGRID,348.5,348.75,342.0,342.79999,12642065.0
NSE:POWERGRID,342.79999,345.89999,340.10001,343.10001,11380570.0
NSE:POWERGRID,345.39999,345.39999,340.20001,343.79999,5277531.0
